company_name,city,products,wrap_id,cert_type,wrap_profile_url,is_bgmea_member,is_bkmea_member,is_bgapmea_member,notes
Aboni Fashions Ltd.,Savar,"Woven Shirt, Woven Tops",14763,Gold,https://wrapcompliance.org/certified-facility/14763/,,,,
Afrah Fashion Limited.,Chattogram,"Knitted Garments, Woven Bottom, Woven Tops",123966,Gold,https://wrapcompliance.org/certified-facility/123966/,,,,
ALIB Composite Ltd.,Dhaka,"Jackets, Kids Wear, Knitted Garments, Polo Shirts",132290,Gold,https://wrapcompliance.org/certified-facility/132290/,,,,
Babylon Trims Ltd.,Savar,Other,19764,Gold,https://wrapcompliance.org/certified-facility/19764/,,,,
BANGLADESH TEXTILE & CHEMICAL FIBRE INDUSTRY Ltd,Cumilla,"Woven Bottom, Woven Shirt, Woven Tops",130065,Gold,https://wrapcompliance.org/certified-facility/130065/,,,,
Bea-Con Knitwear Ltd. (Factory-2),Gazipur,Knitwear,19578,Gold,https://wrapcompliance.org/certified-facility/19578/,,,,
Blue Creations Limited,Gazipur,Denim,19838,Gold,https://wrapcompliance.org/certified-facility/19838/,,,,
CBM International Ltd,Dhaka,"Woven Shirt, Woven Tops",128493,Gold,https://wrapcompliance.org/certified-facility/128493/,,,,
Cosmopolitan Industries (Pvt.) Limited,Savar,Woven Bottom,9136,Gold,https://wrapcompliance.org/certified-facility/9136/,,,,
Creative Wash Ltd.,Gazipur,Other,132455,Gold,https://wrapcompliance.org/certified-facility/132455/,,,,
Debonair Limited Unit-2,Gazipur,Jackets,125985,Gold,https://wrapcompliance.org/certified-facility/125985/,,,,
Eastport Limited,Comilla,Workwear,15268,Gold,https://wrapcompliance.org/certified-facility/15268/,,,,
ELITE GARMENTS INDUSTRIES LTD.,Gazipur,"Woven Shirt, Woven Tops",14150,Gold,https://wrapcompliance.org/certified-facility/14150/,,,,
Epic Garments Manufacturing Company Limited,Narayangonj,"Denim, Woven Bottom, Woven Tops",15119,Gold,https://wrapcompliance.org/certified-facility/15119/,,,,
Express Washing and Dyeing Ltd,Dhaka,"Woven Bottom, Woven Tops",127158,Gold,https://wrapcompliance.org/certified-facility/127158/,,,,
Fenix Sportswear Limited,Chattogram,"Woven Bottom, Woven Tops",130811,Gold,https://wrapcompliance.org/certified-facility/130811/,,,,
"Futex Bangladesh Garment Manufacturing Co., Ltd",Ashulia,"Bikini, Bras, Briefs, Panties, Sports Bras, Swimwear, Thongs, Underwear",130728,Gold,https://wrapcompliance.org/certified-facility/130728/,,,,
Garments Export Village Ltd.,Gazipur,"Woven Bottom, Woven Shirt, Woven Tops",125491,Gold,https://wrapcompliance.org/certified-facility/125491/,,,,
Geebee (Bangladesh) Limited Unit-2,Chattogram,"Woven Bottom, Woven Shirt, Woven Tops",17701,Gold,https://wrapcompliance.org/certified-facility/17701/,,,,
Goumati Knit Wears Ltd.,Narayanganj,"Knitted Garments, Knitwear",127345,Gold,https://wrapcompliance.org/certified-facility/127345/,,,,
GRAMTECH Knit Dyeing Finishing & Garments Ind. Ltd.,Narayangonj,Knitted Garments,17487,Gold,https://wrapcompliance.org/certified-facility/17487/,,,,
"Hong Qun Leather Co., Ltd.",Dhaka-1341,Bags and Associated Parts,131429,Gold,https://wrapcompliance.org/certified-facility/131429/,,,,
Interfab Shirt Manufacturing Limited Unit-02,Gazipur,Dress Shirts,127719,Gold,https://wrapcompliance.org/certified-facility/127719/,,,,
J L Sweaters Ltd,Savar,Sweaters,127514,Gold,https://wrapcompliance.org/certified-facility/127514/,,,,
Jamuna Denims Ltd. - Garments & Washing Unit,Gazipur,"Woven Bottom, Woven Shirt, Woven Tops",10101,Gold,https://wrapcompliance.org/certified-facility/10101/,,,,
JM Fabrics Ltd.,Gazipur,Knitted Garments,13148,Gold,https://wrapcompliance.org/certified-facility/13148/,,,,
